URL,Response Code,News Error,Detected,Category
http://haacked.com/archive/2011/05/09/compiling-mvc-views-in-a-build-environment.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2010/02/12/asp-net-mvc-2-optional-url-parameters.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2008/11/04/areas-in-aspnetmvc.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2004/11/12/how-to-stop-a-thread.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2011/04/25/conditional-filters.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2011/07/14/model-metadata-and-validation-localization-using-conventions.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2006/09/27/Log4Net_Troubleshooting.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2004/08/30/987.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/09/25/html-encoding-code-nuggets.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2011/02/21/changing-base-type-of-a-razor-view.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2009/10/01/asp.net-mvc-preview-2-released.aspx,404,,12/7/13,Not found
http://haacked.com/archive/2011/07/13/asp-net-mvc-4-roadmap.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2008/08/29/how-a-method-becomes-an-action.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2011/03/31/hosting-simple-nuget-package-feed.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/07/14/law-of-demeter-dot-counting.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2009/12/02/t4-template-for-less-css.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/04/02/csrf-webforms.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2012/01/02/structuring-unit-tests.aspx,404,,12/3/13,Not found
http://haacked.com/archive/2010/10/21/hosting-your-own-local-and-remote-nupack-feeds.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2009/04/22/scripted-db-views.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2009/01/27/aspnetmvc-release-candidate.aspx,404,,12/7/13,Not found
http://haacked.com/archive/2012/03/15/visualize-git-with-seegit.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2006/04/21/sqlstoredproceduretoftpfilesfromsqlserver.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2007/07/24/securely-implement-elmah-for-plug-and-play-error-logging.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2011/02/20/routing-regression-with-two-consecutive-optional-url-parameters.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2008/07/22/unit-test-boundaries.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/03/18/aspnet-mvc-rtw.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2008/04/10/upcoming-changes-in-routing.aspx,404,,12/3/13,Not found
http://haacked.com/archive/2009/05/12/donut-hole-caching.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2011/02/12/nuget-1-1-released.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2004/06/29/current-directory-for-windows-service-is-not-what-you-expect.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2011/04/19/writing-a-nuget-package-that-adds-a-command-to-the.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2011/01/13/aspnetmvc3-released.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2012/01/30/hazards-of-converting-binary-data-to-a-string.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2007/03/12/custom-configuration-sections-in-3-easy-steps.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2004/10/06/responseredirectverseservertransfer.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2010/04/29/allowing-reserved-filenames-in-URLs.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2009/11/17/asp.net-mvc-2-beta-released.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2011/04/13/routedebugger-2.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2009/12/15/live-preview-jquery-plugin.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2008/06/25/aspnetmvc-block-view-access.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2006/01/12/CSSURLReferencesAndURLRewriting.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/01/09/asynchronous-fire-and-forget-with-lambdas.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2010/05/10/globalizing-mvc-validation.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2010/10/06/asp-net-mvc-3-beta-released.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2011/01/30/introducing-routemagic.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2004/08/01/alaska-we-will-pay-you-to-move-here.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2011/09/14/asp-net-mvc-4-developer-preview-released.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2006/02/08/OnReligiousWarsinSoftware.aspx,404,,12/7/13,Not found
http://haacked.com/archive/2006/01/13/ClickableBackgroundImagesViaCSS.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2009/01/30/simple-jquery-delete-link-for-asp.net-mvc.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2008/11/13/future-of-aspnet.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/04/03/tipjar-title-tags-and-master-pages.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2012/07/25/finding-bad-controllers.aspx,404,,12/3/13,Not found
http://haacked.com/archive/2010/07/27/aspnetmvc3-preview1-released.aspx,404,,12/6/13,Not found
http://haacked.com/tags/nuget/default.aspx,404,,12/5/13,Not found
http://haacked.com/tags/posh-git/default.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2011/12/07/hello-github.aspx,404,,12/6/13,Not found
http://haacked.com/tags/asp.net/default.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2010/01/12/ambiguous-controller-names.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2008/07/16/aspnetmvc-codeplex-preview4.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2006/07/05/bulletproofsqlchangescriptsusinginformation_schemaviews.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2010/12/10/asp-net-mvc-3-release-candidate-2.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/01/27/controls-collection-cannot-be-modified-issue-with-asp.net-mvc-rc1.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2013/01/05/mitigate-the-billion-dollar-mistake-with-aspects.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2006/01/24/TheDevelopersGuideToCopyrightLaw-Part1.aspx,404,,12/7/13,Not found
http://haacked.com/archive/2011/01/12/uploading-packages-to-the-nuget-gallery.aspx,404,,12/7/13,Not found
http://haacked.com/archive/2005/07/14/see-your-name-in-pictures.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2012/03/29/asp-net-mvc-now-accepting-pull-requests.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2004/07.aspx,404,,12/5/13,Not found
http://haacked.com/tags/security/default.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2008/06/24/vs2008-web-server-here-shell-extension.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2011/12/26/oss-net-2011.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/08/17/rest-for-mvc.aspx,404,,12/7/13,Not found
http://haacked.com/archive/2009/07/30/asp.net-mvc-released.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2008/12/15/redirect-routes-and-other-fun-with-routing-and-lambdas.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2008/07/29/super-simple-mvc-ajax-with-jquery-demo.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2006/09/27/Categories_vs_Tags.aspx,404,,12/3/13,Not found
http://haacked.com/archive/2010/06/10/checking-for-empty-enumerations.aspx,404,,12/7/13,Not found
http://haacked.com/archive/2011/06/06/creating-a-custom-asp-net-mvc-project-template.aspx,404,,12/3/13,Not found
http://haacked.com/archive/2010/08/10/versioning-issues-with-optional-arguments.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2010/11/19/nuget-transformation.aspx,404,,12/3/13,Not found
http://haacked.com/archive/2004/06/15/impedance-mismatch.aspx,404,,12/4/13,Not found
http://haacked.com/archive/2009/07/31/single-project-areas.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2007/09/24/bug-driven-development.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2007/11/05/rhino-mocks-extension-methods-mvc-crazy-delicious.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2004/03/09/what-to-do-if-you-win-the-lottery.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2008/07/02/httpmodule-for-timing-requests.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2009/03/10/chapter-one-pro-aspnetmvc.aspx,404,,12/6/13,Not found
http://haacked.com/archive/2007/02/27/Why_Cant_Programmers._Read.aspx,404,,12/5/13,Not found
http://haacked.com/archive/2008/04/22/defining-asp.net-mvc-routes-and-views-in-ironruby.aspx,404,,12/7/13,Not found
http://haacked.com/archive/2008/09/23/refreshing-asp.net-dynamic-language-support.aspx,404,,12/4/13,Not found
